contract,basic_block,original_gas_cost,syrup_tool_gas_cost,our_tool_gas_cost,syrup_tool_execution_time,our_tool_execution_time
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1337.1,12,12,12,0.5351352691650391,6.311648607254028
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1409.4,48,47,45,0.6860105991363525,16.704596519470215
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1723.1,12,12,12,0.5098297595977783,5.4563987255096436
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1995.2,6,6,6,0.7727041244506836,1.881077527999878
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2087.0,86,13,6,0.5472848415374756,31.9061279296875
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1409.3,6,6,6,0.5471212863922119,1.8271594047546387
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1337.6,9,9,9,0.649712085723877,3.760575532913208
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block267,6,6,6,0.572113037109375,1.788346529006958
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2526,792,719,711,0.545151948928833,52.61766576766968
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1723.6,17,17,17,0.8343386650085449,16.892268180847168
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block119,6,6,6,0.5270252227783203,1.7324349880218506
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1155.0,87,18,6,0.5744378566741943,35.71038365364075
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1018.6,24,24,24,0.7445664405822754,25.769860029220578
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1684.1,12,12,12,0.5292613506317139,6.0971879959106445
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block13,26,26,26,0.5852348804473877,22.780840158462524
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1946.0,6,6,6,0.6921482086181641,2.0171277523040776
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1867.3,3,3,3,0.6410808563232422,0.7091295719146726
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2631.0,6,6,6,0.6634421348571777,2.0056016445159917
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block251.0,6,6,6,0.8422145843505859,2.2764828205108647
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2181.5,15,15,12,0.5558891296386719,13.792060375213625
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1624.4,36,36,36,0.50978684425354,3.4889540672302246
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2128.3,12,12,12,0.4939227104187011,6.017417669296265
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2375.7,15,15,12,0.5613160133361816,13.023539781570435
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block1284.3,12,12,12,0.6322054862976074,6.194972276687623
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a.bin-runtime,0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a__block2483.0,90,21,6,0.6420881748199463,43.90202808380127
